"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1566","MIR548AA1",0,NA,NA,NA,NA,NA
"1567","FRRS1",15.7368091554919,0.818315812670725,0.438132005974475,0,1,1
"1568","AGL",514.6534078944,-0.478688762854042,0.189046174769672,0,1,1
"1569","SLC35A3",193.473937404795,0.155029654840072,0.113466614146864,0,1,1
"1570","TRMT13",136.591256605963,0.311084648022527,0.193394294805905,0,1,1
"1571","LRRC39",55.4300519725039,-0.191681555914707,0.153966063927071,0,1,1
"1572","SASS6",60.6745050369638,0.54933505681039,0.189565528084415,0,1,1
"1573","RTCA",256.682607764131,-0.260182513649209,0.151091187047218,0,1,1
"1574","MIR553",1.36385756499408,-0.42953400331286,0.641051115850519,0,1,1
"1575","RTCA-AS1",31.2259497380052,-0.0222101636880676,0.166337009834597,0,1,1
"1576","GPR88",99.6753951418073,-0.670604146295917,0.272690436598099,0,1,1
"1577","LINC01349",0.139799166358126,-0.740515882850394,3.02618920828379,0,1,1
"1578","SLC30A7",270.142296637781,-0.0969030772205055,0.141232543791504,0,1,1
"1579","EXTL2",189.582045648993,-0.314431957789676,0.170874037313511,0,1,1
"1580","DPH5",91.79179591667,-0.0664440760196714,0.144376736790023,0,1,1
"1581","LOC102606465",21.0407216405182,-0.145583771338353,0.216302479958959,0,1,1
"1582","S1PR1",1052.31448396563,-0.254388190221188,0.233568415167327,0,1,1
"1583","LOC101928370",29.7637587120815,-0.0302493552250448,0.281600082702198,0,1,1
"1584","LINC01307",0,NA,NA,NA,NA,NA
"1585","DNAJA1P5",29.9630282115919,-0.184583551274137,0.370011002051793,0,1,1
"1586","LOC101928436",0.675456666482457,0.424561784441378,0.956013338396468,0,1,1
"1587","AMY2B",283.342078970851,-0.201074998532121,0.182211850395066,0,1,1
"1588","ACTG1P4",117.802534801912,-0.249242288200998,0.166536114905962,0,1,1
"1589","AMY2A",2.02472101251919,-0.820715104451782,0.778271319940181,0,1,1
"1590","LOC100129138",2.77104915868955,0.167858645747016,0.609627132625238,0,1,1
"1591","LINC01676",0,NA,NA,NA,NA,NA
"1592","PRMT6",180.531739263846,0.0244808882054817,0.129145493296934,0,1,1
"1593","MIR7852",0,NA,NA,NA,NA,NA
"1594","SLC25A24",123.030277160872,0.0802708315740864,0.138212053657374,0,1,1
"1595","NBPF4",0,NA,NA,NA,NA,NA
